gene	seqnames	start	end	width	strand	CI.start	CI.end	genoT	filenames	freq	n()	alleleFreq
BLM	chr8	102827440	102847100	19661	*	102622559	103107118	cc-ww	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr9	67399248	68397530	998283	*	63343011	68455333	wc-ww	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	10	76	13.16
BLM	chr10	67016014	67046962	30949	*	66717772	67485186	ww-cc	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr11	14318328	14360774	42447	*	14290917	14417793	wc-cc	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr11	75329487	75330324	838	*	75207451	75350172	cc-wc	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	4	76	5.26
BLM	chr14	91605342	91649642	44301	*	91477668	91982804	cc-ww	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr14	101922145	101934824	12680	*	101622973	102019473	ww-cc	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr15	72681704	72685937	4234	*	72619033	72751657	cc-wc	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	42	76	55.26
BLM	chr15	74100223	74110840	10618	*	74038357	74156317	wc-cc	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	40	76	52.63
BLM	chr21	18617039	18673076	56038	*	18103484	19084977	cc-ww	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr2	98083898	98227302	143405	*	97647700	98901633	cc-ww	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr6	31539710	31558668	18959	*	31499115	170610191	cc-wc	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr6	31775145	31957094	181950	*	155951	32192792	wc-cc	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr8	70669071	70710408	41338	*	70614053	71191567	wc-ww	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	4	76	5.26
BLM	chr9	68331294	68503929	172636	*	63388113	68605214	wc-ww	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	12	76	15.79
BLM	chr10	44959339	46055903	1096565	*	44882122	46144127	ww-wc	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	4	76	5.26
BLM	chr10	46555061	47194802	639742	*	14842	47284377	wc-ww	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	7	76	9.21
BLM	chr12	112584984	112606870	21887	*	112180076	112978470	ww-cc	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr15	60827652	60827940	289	*	60682698	60882626	cc-wc	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	22	76	28.95
BLM	chr15	89270207	89322334	52128	*	89241748	89377196	wc-cc	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	19	76	25
BLM	chr19	2766040	2804512	38473	*	2579573	3078338	cc-ww	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr21	14898081	14939685	41605	*	9791207	15095651	wc-ww	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	10	76	13.16
BLM	chr22	23266494	23283241	16748	*	23030619	23663350	cc-ww	blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam.RData	27	76	35.53
BLM	chr2	106381133	106489192	108060	*	106117027	106727322	cc-ww	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr3	41161397	41265343	103947	*	40936386	41593997	cc-ww	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr5	91099413	91123546	24134	*	90757149	91488356	cc-ww	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr6	158475141	158480868	5728	*	158427730	170588661	cc-wc	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr6	158568769	158638555	69787	*	153391	158855688	wc-cc	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr7	36921423	36972554	51132	*	36834665	37288488	cc-ww	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	77300642	77381246	80605	*	77083586	77800287	wc-cc	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	21	76	27.63
BLM	chr9	130778703	130778856	154	*	130551603	130927506	ww-cc	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	31	76	40.79
BLM	chr10	43546453	43570152	23700	*	43324979	43800500	cc-ww	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr11	8166111	8219477	53367	*	7547098	8956855	cc-ww	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr12	109803537	109820296	16760	*	109598471	110197864	ww-cc	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr15	60581715	60611230	29516	*	60414299	60863036	cc-wc	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	22	76	28.95
BLM	chr15	89225545	89251995	26451	*	89151691	89418453	wc-cc	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	19	76	25
BLM	chr18	31058102	31310280	252179	*	30177998	31541259	cc-ww	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr20	19768641	19803424	34784	*	19638021	20042116	cc-ww	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr21	15692609	15758711	66103	*	10425515	15962292	wc-ww	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	7	76	9.21
BLM	chr22	23276622	23306873	30252	*	23194907	23775368	cc-ww	blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam.RData	27	76	35.53
BLM	chr1	97318529	97448130	129602	*	96686403	98837020	ww-cc	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr2	233229572	233246218	16647	*	232881144	233928042	ww-cc	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr5	149911830	149926953	15124	*	149472662	150432749	cc-ww	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr6	6710441	6753148	42708	*	6520972	6880066	ww-wc	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr6	7582042	8200815	618774	*	6818901	8466154	wc-ww	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	95885268	95950426	65159	*	95361471	96389566	ww-cc	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr9	68975232	69844747	869516	*	62880081	69933822	wc-ww	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	10	76	13.16
BLM	chr10	76693025	76765413	72389	*	75968274	77048872	cc-ww	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr11	125077164	125110390	33227	*	124890962	125161116	cc-wc	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	8	76	10.53
BLM	chr13	22830648	22859756	29109	*	22091327	23693787	cc-ww	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	3	76	3.95
BLM	chr15	60800702	60899046	98345	*	60704429	60939077	cc-wc	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	22	76	28.95
BLM	chr21	15888664	15972931	84268	*	10414681	16104742	wc-ww	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	6	76	7.89
BLM	chrX	142059048	142101508	42461	*	141662122	143140214	cc-ww	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr3	143068078	143090159	22082	*	142431383	143282771	ww-cc	blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr4	42023962	42055398	31437	*	41382324	42607178	cc-ww	blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	75585312	76082986	497675	*	75514541	76196804	cc-wc	blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam.RData	12	76	15.79
BLM	chr8	77436345	77828329	391985	*	77229037	78048691	wc-cc	blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam.RData	21	76	27.63
BLM	chr11	107466855	107482134	15280	*	107251160	107574249	ww-wc	blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam.RData	20	76	26.32
BLM	chr15	47497144	47509040	11897	*	47202153	47900499	ww-wc	blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr21	15346044	15782759	436716	*	10447498	15967257	wc-ww	blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam.RData	11	76	14.47
BLM	chr5	173714472	173740990	26519	*	173321956	173945517	ww-cc	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr8	129374735	129397734	23000	*	128648351	129984081	cc-ww	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr9	130780918	130821716	40799	*	130447075	131122269	cc-ww	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	31	76	40.79
BLM	chr10	64265231	64303808	38578	*	63585012	65260114	ww-cc	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr11	125122021	125123905	1885	*	125078362	125185033	ww-wc	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	8	76	10.53
BLM	chr12	65506315	65887983	381669	*	62901876	66095043	wc-ww	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr13	62091562	62230004	138443	*	61476280	63400560	cc-ww	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr15	60811849	60881231	69383	*	60726981	60934607	ww-wc	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	22	76	28.95
BLM	chr15	72628909	72686244	57336	*	72373315	72748421	wc-ww	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	42	76	55.26
BLM	chr15	74033644	74142128	108485	*	74016078	74175420	ww-wc	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	40	76	52.63
BLM	chr15	89348671	89351731	3061	*	89229672	89413092	wc-ww	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	19	76	25
BLM	chr21	14950809	15037475	86667	*	10465743	15161176	wc-cc	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	11	76	14.47
BLM	chr22	23274206	23302027	27822	*	22976748	23651943	ww-cc	blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam.RData	27	76	35.53
BLM	chr1	241586463	241670905	84443	*	240817950	242093000	cc-ww	blm-1-single-c5-w22-3d6_S122_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	71974246	72096346	122101	*	71758381	72240728	wc-cc	blm-1-single-c5-w22-3d6_S122_.trimmed.mdup.bam.RData	5	76	6.58
